SALE_ID,SALE_TIME,ITEM_ID,ITEM_NAME,VENDOR_ID,POS_ID,EMPLOYEE_ID,UNITS_SOLD,GROSS_SALES,NET_SALES,DISCOUNTS,DISCOUNT_NAME
S00000007,2024-02-29 19:55:00,I002,CHEESEBURGER,V001,P16,E367,1,12.5,12.5,0.0,
S00000008,2024-02-13 22:55:00,I001,HOT DOG,V020,P26,E318,1,8.5,8.5,0.0,
S00000008,2024-02-13 22:55:00,I010,CHICKEN TENDERS,V020,P26,E318,1,13.5,13.5,0.0,
S00000008,2024-02-13 22:55:00,I010,CHICKEN TENDERS,V020,P26,E318,1,13.5,13.5,0.0,
S00000008,2024-02-13 22:55:00,I003,FRIES,V020,P26,E318,2,12.0,12.0,0.0,
S00000009,2024-02-22 20:25:00,I009,COCKTAIL,V001,P47,E335,1,18.0,16.0,2.0,PROMO_2_OFF
S00000009,2024-02-22 20:25:00,I009,COCKTAIL,V001,P47,E335,1,18.0,18.0,0.0,
S00000009,2024-02-22 20:25:00,I008,CANNED BEER,V001,P47,E335,1,12.0,6.0,6.0,BOGO_50
S00000009,2024-02-22 20:25:00,I008,CANNED BEER,V001,P47,E335,1,12.0,12.0,0.0,
S00000010,2024-01-25 21:07:00,I004,POPCORN,V002,P32,E025,1,7.0,7.0,0.0,
S00000011,2024-01-25 19:02:00,I011,NACHOS,V002,P19,E295,1,10.0,9.0,1.0,MEMBER_10PCT
S00000011,2024-01-25 19:02:00,I012,ENERGY DRINK,V002,P19,E295,2,15.0,15.0,0.0,
S00000012,2024-02-24 22:38:00,I007,DRAFT BEER,V003,P17,E385,1,14.0,12.0,2.0,PROMO_2_OFF
S00000012,2024-02-24 22:38:00,I008,CANNED BEER,V003,P17,E385,1,12.0,12.0,0.0,
S00000012,2024-02-24 22:38:00,I012,ENERGY DRINK,V003,P17,E385,2,15.0,15.0,0.0,
S00000012,2024-02-24 22:38:00,I007,DRAFT BEER,V003,P17,E385,1,14.0,14.0,0.0,
S00000013,2024-02-17 20:44:00,I002,CHEESEBURGER,V001,P37,E210,2,25.0,23.0,2.0,PROMO_2_OFF
S00000013,2024-02-17 20:44:00,I009,COCKTAIL,V001,P37,E210,2,36.0,36.0,0.0,
S00000013,2024-02-17 20:44:00,I008,CANNED BEER,V001,P37,E210,1,12.0,12.0,0.0,
S00000013,2024-02-17 20:44:00,I006,WATER,V001,P37,E210,1,5.0,5.0,0.0,
S00000014,2024-01-09 19:16:00,I012,ENERGY DRINK,V003,P29,E191,2,15.0,15.0,0.0,
S00000014,2024-01-09 19:16:00,I008,CANNED BEER,V003,P29,E191,1,12.0,10.8,1.2,MEMBER_10PCT
S00000015,2024-01-18 23:35:00,I007,DRAFT BEER,V001,P06,E289,1,14.0,12.0,2.0,PROMO_2_OFF
S00000016,2024-02-24 19:15:00,I008,CANNED BEER,V002,P34,E296,1,12.0,12.0,0.0,
S00000016,2024-02-24 19:15:00,I011,NACHOS,V002,P34,E296,2,20.0,20.0,0.0,
S00000016,2024-02-24 19:15:00,I004,POPCORN,V002,P34,E296,1,7.0,5.0,2.0,PROMO_2_OFF
S00000016,2024-02-24 19:15:00,I011,NACHOS,V002,P34,E296,1,10.0,9.0,1.0,MEMBER_10PCT
S00000017,2024-01-06 19:10:00,I009,COCKTAIL,V003,P40,E056,2,36.0,36.0,0.0,
S00000017,2024-01-06 19:10:00,I007,DRAFT BEER,V003,P40,E056,2,28.0,28.0,0.0,
S00000018,2024-02-20 17:44:00,I001,HOT DOG,V003,P07,E013,1,8.5,8.5,0.0,
S00000018,2024-02-20 17:44:00,I004,POPCORN,V003,P07,E013,1,7.0,7.0,0.0,
S00000018,2024-02-20 17:44:00,I008,CANNED BEER,V003,P07,E013,2,24.0,22.0,2.0,PROMO_2_OFF
S00000019,2024-02-17 20:16:00,I003,FRIES,V030,P06,E018,1,6.0,6.0,0.0,
S00000019,2024-02-17 20:16:00,I008,CANNED BEER,V030,P06,E018,1,12.0,6.0,6.0,BOGO_50
S00000019,2024-02-17 20:16:00,I002,CHEESEBURGER,V030,P06,E018,1,12.5,12.5,0.0,
S00000019,2024-02-17 20:16:00,I009,COCKTAIL,V030,P06,E018,1,18.0,16.0,2.0,PROMO_2_OFF
S00000020,2024-01-04 21:51:00,I001,HOT DOG,V020,P10,E116,1,8.5,6.5,2.0,PROMO_2_OFF
S00000020,2024-01-04 21:51:00,I001,HOT DOG,V020,P10,E116,1,8.5,4.25,4.25,BOGO_50
S00000020,2024-01-04 21:51:00,I001,HOT DOG,V020,P10,E116,1,8.5,6.5,2.0,PROMO_2_OFF
S00000021,2024-02-24 23:49:00,I008,CANNED BEER,V011,P47,E339,1,12.0,12.0,0.0,
S00000021,2024-02-24 23:49:00,I001,HOT DOG,V011,P47,E339,1,8.5,8.5,0.0,
S00000021,2024-02-24 23:49:00,I003,FRIES,V011,P47,E339,2,12.0,12.0,0.0,
S00000022,2024-01-27 21:53:00,I007,DRAFT BEER,V001,P37,E007,1,14.0,14.0,0.0,
S00000022,2024-01-27 21:53:00,I009,COCKTAIL,V001,P37,E007,1,18.0,18.0,0.0,
S00000023,2024-01-13 18:19:00,I002,CHEESEBURGER,V010,P45,E165,1,12.5,11.25,1.25,MEMBER_10PCT
S00000024,2024-01-04 20:33:00,I006,WATER,V011,P23,E102,1,5.0,5.0,0.0,
S00000024,2024-01-04 20:33:00,I002,CHEESEBURGER,V011,P23,E102,1,12.5,12.5,0.0,
S00000024,2024-01-04 20:33:00,I009,COCKTAIL,V011,P23,E102,2,36.0,36.0,0.0,
S00000025,2024-02-17 19:46:00,I002,CHEESEBURGER,V003,P26,E366,1,12.5,12.5,0.0,
S00000025,2024-02-17 19:46:00,I002,CHEESEBURGER,V003,P26,E366,1,12.5,12.5,0.0,
S00000026,2024-01-02 20:24:00,I003,FRIES,V003,P32,E062,1,6.0,6.0,0.0,
S00000026,2024-01-02 20:24:00,I007,DRAFT BEER,V003,P32,E062,1,14.0,14.0,0.0,
S00000027,2024-01-27 17:53:00,I007,DRAFT BEER,V003,P12,E141,1,14.0,12.0,2.0,PROMO_2_OFF
S00000027,2024-01-27 17:53:00,I012,ENERGY DRINK,V003,P12,E141,1,7.5,7.5,0.0,
S00000027,2024-01-27 17:53:00,I012,ENERGY DRINK,V003,P12,E141,1,7.5,7.5,0.0,
S00000028,2024-02-29 23:47:00,I009,COCKTAIL,V011,P26,E224,1,18.0,9.0,9.0,BOGO_50
S00000028,2024-02-29 23:47:00,I012,ENERGY DRINK,V011,P26,E224,1,7.5,7.5,0.0,
S00000028,2024-02-29 23:47:00,I012,ENERGY DRINK,V011,P26,E224,1,7.5,3.75,3.75,BOGO_50
S00000028,2024-02-29 23:47:00,I008,CANNED BEER,V011,P26,E224,1,12.0,12.0,0.0,
S00000029,2024-02-20 20:24:00,I007,DRAFT BEER,V001,P17,E293,2,28.0,21.0,7.0,BOGO_50
S00000029,2024-02-20 20:24:00,I001,HOT DOG,V001,P17,E293,1,8.5,8.5,0.0,
S00000030,2024-01-27 18:26:00,I009,COCKTAIL,V001,P31,E204,1,18.0,18.0,0.0,
S00000030,2024-01-27 18:26:00,I009,COCKTAIL,V001,P31,E204,1,18.0,18.0,0.0,
S00000031,2024-02-27 23:01:00,I003,FRIES,V010,P20,E134,1,6.0,6.0,0.0,
S00000032,2024-02-08 21:16:00,I006,WATER,V011,P09,E369,1,5.0,5.0,0.0,
S00000032,2024-02-08 21:16:00,I008,CANNED BEER,V011,P09,E369,1,12.0,10.0,2.0,PROMO_2_OFF
S00000032,2024-02-08 21:16:00,I009,COCKTAIL,V011,P09,E369,1,18.0,18.0,0.0,
S00000032,2024-02-08 21:16:00,I002,CHEESEBURGER,V011,P09,E369,1,12.5,12.5,0.0,
S00000033,2024-01-23 18:28:00,I003,FRIES,V001,P46,E253,1,6.0,6.0,0.0,
S00000034,2024-02-06 21:21:00,I008,CANNED BEER,V001,P25,E108,1,12.0,12.0,0.0,
S00000035,2024-02-03 20:56:00,I004,POPCORN,V011,P34,E246,1,7.0,7.0,0.0,
S00000036,2024-02-04 00:06:00,I009,COCKTAIL,V003,P43,E213,2,36.0,36.0,0.0,
S00000036,2024-02-04 00:06:00,I012,ENERGY DRINK,V003,P43,E213,1,7.5,7.5,0.0,
S00000036,2024-02-04 00:06:00,I009,COCKTAIL,V003,P43,E213,1,18.0,18.0,0.0,
S00000036,2024-02-04 00:06:00,I007,DRAFT BEER,V003,P43,E213,2,28.0,28.0,0.0,
S00000037,2024-02-13 19:21:00,I001,HOT DOG,V002,P09,E127,2,17.0,17.0,0.0,
S00000038,2024-01-27 19:31:00,I003,FRIES,V010,P16,E227,1,6.0,6.0,0.0,
S00000039,2024-02-22 22:17:00,I008,CANNED BEER,V010,P50,E352,1,12.0,10.8,1.2,MEMBER_10PCT
S00000039,2024-02-22 22:17:00,I009,COCKTAIL,V010,P50,E352,2,36.0,27.0,9.0,BOGO_50
S00000040,2024-02-15 17:26:00,I005,SODA,V011,P06,E324,2,12.0,10.8,1.2,MEMBER_10PCT
S00000040,2024-02-15 17:26:00,I012,ENERGY DRINK,V011,P06,E324,1,7.5,5.5,2.0,PROMO_2_OFF
S00000041,2024-02-28 00:20:00,I001,HOT DOG,V002,P38,E002,1,8.5,8.5,0.0,
S00000042,2024-01-06 22:15:00,I004,POPCORN,V003,P50,E131,2,14.0,12.6,1.4,MEMBER_10PCT
S00000042,2024-01-06 22:15:00,I007,DRAFT BEER,V003,P50,E131,2,28.0,28.0,0.0,
S00000042,2024-01-06 22:15:00,I002,CHEESEBURGER,V003,P50,E131,1,12.5,12.5,0.0,
S00000042,2024-01-06 22:15:00,I005,SODA,V003,P50,E131,1,6.0,6.0,0.0,
S00000043,2024-01-11 23:05:00,I008,CANNED BEER,V011,P36,E004,1,12.0,6.0,6.0,BOGO_50
S00000043,2024-01-11 23:05:00,I008,CANNED BEER,V011,P36,E004,1,12.0,12.0,0.0,
S00000043,2024-01-11 23:05:00,I001,HOT DOG,V011,P36,E004,1,8.5,8.5,0.0,
S00000043,2024-01-11 23:05:00,I003,FRIES,V011,P36,E004,1,6.0,3.0,3.0,BOGO_50
S00000044,2024-02-13 20:40:00,I011,NACHOS,V002,P34,E167,1,10.0,10.0,0.0,
S00000044,2024-02-13 20:40:00,I008,CANNED BEER,V002,P34,E167,2,24.0,24.0,0.0,
S00000044,2024-02-13 20:40:00,I003,FRIES,V002,P34,E167,1,6.0,6.0,0.0,
S00000044,2024-02-13 20:40:00,I006,WATER,V002,P34,E167,1,5.0,3.0,2.0,PROMO_2_OFF
S00000045,2024-01-16 20:12:00,I002,CHEESEBURGER,V002,P50,E311,2,25.0,25.0,0.0,
S00000045,2024-01-16 20:12:00,I006,WATER,V002,P50,E311,1,5.0,5.0,0.0,
S00000046,2024-02-17 19:58:00,I011,NACHOS,V003,P46,E138,1,10.0,10.0,0.0,
S00000047,2024-01-20 20:50:00,I011,NACHOS,V003,P01,E386,1,10.0,10.0,0.0,
S00000047,2024-01-20 20:50:00,I004,POPCORN,V003,P01,E386,1,7.0,3.5,3.5,BOGO_50
S00000047,2024-01-20 20:50:00,I009,COCKTAIL,V003,P01,E386,1,18.0,18.0,0.0,
S00000048,2024-01-16 22:21:00,I006,WATER,V003,P46,E394,1,5.0,5.0,0.0,
S00000048,2024-01-16 22:21:00,I012,ENERGY DRINK,V003,P46,E394,1,7.5,3.75,3.75,BOGO_50
S00000048,2024-01-16 22:21:00,I003,FRIES,V003,P46,E394,1,6.0,6.0,0.0,
S00000049,2024-02-10 18:30:00,I004,POPCORN,V011,P40,E254,1,7.0,5.0,2.0,PROMO_2_OFF
S00000049,2024-02-10 18:30:00,I009,COCKTAIL,V011,P40,E254,2,36.0,34.0,2.0,PROMO_2_OFF
S00000050,2024-01-09 21:19:00,I007,DRAFT BEER,V003,P10,E128,2,28.0,28.0,0.0,
S00000051,2024-02-28 00:07:00,I002,CHEESEBURGER,V001,P22,E376,1,12.5,12.5,0.0,
S00000051,2024-02-28 00:07:00,I001,HOT DOG,V001,P22,E376,1,8.5,8.5,0.0,
S00000051,2024-02-28 00:07:00,I003,FRIES,V001,P22,E376,1,6.0,6.0,0.0,
S00000051,2024-02-28 00:07:00,I002,CHEESEBURGER,V001,P22,E376,1,12.5,12.5,0.0,
S00000052,2024-02-01 19:42:00,I004,POPCORN,V002,P11,E197,1,7.0,3.5,3.5,BOGO_50
S00000052,2024-02-01 19:42:00,I001,HOT DOG,V002,P11,E197,1,8.5,8.5,0.0,
S00000053,2024-02-10 18:39:00,I007,DRAFT BEER,V002,P25,E165,1,14.0,14.0,0.0,
S00000053,2024-02-10 18:39:00,I008,CANNED BEER,V002,P25,E165,1,12.0,12.0,0.0,
S00000054,2024-02-29 23:11:00,I009,COCKTAIL,V002,P35,E298,1,18.0,18.0,0.0,
S00000054,2024-02-29 23:11:00,I001,HOT DOG,V002,P35,E298,1,8.5,8.5,0.0,
S00000055,2024-01-20 19:25:00,I010,CHICKEN TENDERS,V020,P07,E036,1,13.5,13.5,0.0,
S00000056,2024-02-29 22:14:00,I007,DRAFT BEER,V002,P32,E036,2,28.0,28.0,0.0,
S00000056,2024-02-29 22:14:00,I008,CANNED BEER,V002,P32,E036,1,12.0,10.0,2.0,PROMO_2_OFF
S00000056,2024-02-29 22:14:00,I001,HOT DOG,V002,P32,E036,2,17.0,17.0,0.0,
S00000057,2024-02-17 18:29:00,I009,COCKTAIL,V003,P46,E388,1,18.0,16.0,2.0,PROMO_2_OFF
S00000057,2024-02-17 18:29:00,I011,NACHOS,V003,P46,E388,1,10.0,10.0,0.0,
S00000057,2024-02-17 18:29:00,I008,CANNED BEER,V003,P46,E388,1,12.0,12.0,0.0,
S00000058,2024-01-04 21:57:00,I001,HOT DOG,V001,P04,E295,1,8.5,8.5,0.0,
S00000058,2024-01-04 21:57:00,I010,CHICKEN TENDERS,V001,P04,E295,1,13.5,13.5,0.0,
S00000059,2024-02-15 17:44:00,I002,CHEESEBURGER,V010,P45,E095,1,12.5,12.5,0.0,
S00000060,2024-02-03 23:16:00,I001,HOT DOG,V030,P26,E106,2,17.0,17.0,0.0,
S00000061,2024-01-16 19:20:00,I005,SODA,V020,P07,E037,1,6.0,6.0,0.0,
S00000061,2024-01-16 19:20:00,I006,WATER,V020,P07,E037,1,5.0,2.5,2.5,BOGO_50
S00000061,2024-01-16 19:20:00,I003,FRIES,V020,P07,E037,1,6.0,6.0,0.0,
S00000061,2024-01-16 19:20:00,I001,HOT DOG,V020,P07,E037,1,8.5,4.25,4.25,BOGO_50
S00000062,2024-01-27 22:02:00,I011,NACHOS,V010,P13,E075,1,10.0,8.0,2.0,PROMO_2_OFF
S00000062,2024-01-27 22:02:00,I012,ENERGY DRINK,V010,P13,E075,2,15.0,15.0,0.0,
S00000062,2024-01-27 22:02:00,I007,DRAFT BEER,V010,P13,E075,1,14.0,14.0,0.0,
S00000063,2024-01-18 18:42:00,I002,CHEESEBURGER,V003,P40,E172,1,12.5,12.5,0.0,
S00000063,2024-01-18 18:42:00,I009,COCKTAIL,V003,P40,E172,1,18.0,16.2,1.8,MEMBER_10PCT
S00000064,2024-02-03 20:05:00,I009,COCKTAIL,V002,P09,E368,2,36.0,36.0,0.0,
S00000064,2024-02-03 20:05:00,I003,FRIES,V002,P09,E368,1,6.0,4.0,2.0,PROMO_2_OFF
S00000064,2024-02-03 20:05:00,I006,WATER,V002,P09,E368,1,5.0,3.0,2.0,PROMO_2_OFF
S00000064,2024-02-03 20:05:00,I008,CANNED BEER,V002,P09,E368,1,12.0,12.0,0.0,
S00000065,2024-01-06 21:41:00,I002,CHEESEBURGER,V020,P46,E345,2,25.0,25.0,0.0,
S00000065,2024-01-06 21:41:00,I010,CHICKEN TENDERS,V020,P46,E345,1,13.5,6.75,6.75,BOGO_50
S00000065,2024-01-06 21:41:00,I007,DRAFT BEER,V020,P46,E345,1,14.0,14.0,0.0,
S00000065,2024-01-06 21:41:00,I001,HOT DOG,V020,P46,E345,1,8.5,8.5,0.0,
S00000066,2024-02-01 19:18:00,I004,POPCORN,V010,P21,E231,1,7.0,7.0,0.0,
S00000066,2024-02-01 19:18:00,I010,CHICKEN TENDERS,V010,P21,E231,1,13.5,13.5,0.0,
S00000066,2024-02-01 19:18:00,I011,NACHOS,V010,P21,E231,2,20.0,20.0,0.0,
S00000066,2024-02-01 19:18:00,I011,NACHOS,V010,P21,E231,1,10.0,8.0,2.0,PROMO_2_OFF
S00000067,2024-02-08 20:30:00,I010,CHICKEN TENDERS,V002,P45,E192,1,13.5,13.5,0.0,
S00000068,2024-01-09 21:14:00,I009,COCKTAIL,V001,P13,E004,1,18.0,18.0,0.0,
S00000068,2024-01-09 21:14:00,I007,DRAFT BEER,V001,P13,E004,1,14.0,14.0,0.0,
S00000069,2024-02-10 18:52:00,I009,COCKTAIL,V020,P39,E310,1,18.0,18.0,0.0,
S00000069,2024-02-10 18:52:00,I009,COCKTAIL,V020,P39,E310,1,18.0,18.0,0.0,
S00000069,2024-02-10 18:52:00,I009,COCKTAIL,V020,P39,E310,2,36.0,36.0,0.0,
S00000069,2024-02-10 18:52:00,I001,HOT DOG,V020,P39,E310,1,8.5,8.5,0.0,
S00000070,2024-01-18 18:59:00,I007,DRAFT BEER,V001,P13,E043,1,14.0,12.0,2.0,PROMO_2_OFF
S00000070,2024-01-18 18:59:00,I008,CANNED BEER,V001,P13,E043,1,12.0,12.0,0.0,
S00000070,2024-01-18 18:59:00,I011,NACHOS,V001,P13,E043,2,20.0,20.0,0.0,
S00000070,2024-01-18 18:59:00,I004,POPCORN,V001,P13,E043,2,14.0,14.0,0.0,
S00000071,2024-01-09 20:48:00,I005,SODA,V011,P14,E248,1,6.0,6.0,0.0,
S00000072,2024-01-04 22:17:00,I011,NACHOS,V011,P36,E230,1,10.0,9.0,1.0,MEMBER_10PCT
S00000072,2024-01-04 22:17:00,I005,SODA,V011,P36,E230,2,12.0,10.0,2.0,PROMO_2_OFF
S00000072,2024-01-04 22:17:00,I003,FRIES,V011,P36,E230,1,6.0,6.0,0.0,
S00000072,2024-01-04 22:17:00,I003,FRIES,V011,P36,E230,1,6.0,6.0,0.0,
S00000073,2024-01-13 21:57:00,I009,COCKTAIL,V001,P22,E144,1,18.0,16.2,1.8,MEMBER_10PCT
S00000074,2024-02-20 17:52:00,I003,FRIES,V003,P09,E384,1,6.0,6.0,0.0,
S00000075,2024-01-23 17:56:00,I004,POPCORN,V002,P46,E367,1,7.0,6.3,0.7,MEMBER_10PCT
S00000075,2024-01-23 17:56:00,I011,NACHOS,V002,P46,E367,2,20.0,18.0,2.0,PROMO_2_OFF
S00000075,2024-01-23 17:56:00,I005,SODA,V002,P46,E367,1,6.0,6.0,0.0,
S00000076,2024-01-09 23:29:00,I004,POPCORN,V002,P47,E224,2,14.0,14.0,0.0,
S00000077,2024-02-20 17:19:00,I009,COCKTAIL,V011,P38,E331,1,18.0,18.0,0.0,
S00000078,2024-02-10 21:32:00,I001,HOT DOG,V030,P01,E113,1,8.5,8.5,0.0,
S00000078,2024-02-10 21:32:00,I004,POPCORN,V030,P01,E113,1,7.0,7.0,0.0,
S00000079,2024-02-29 18:55:00,I006,WATER,V002,P47,E166,1,5.0,4.5,0.5,MEMBER_10PCT
S00000079,2024-02-29 18:55:00,I007,DRAFT BEER,V002,P47,E166,1,14.0,14.0,0.0,
S00000079,2024-02-29 18:55:00,I007,DRAFT BEER,V002,P47,E166,1,14.0,7.0,7.0,BOGO_50
S00000080,2024-01-27 20:30:00,I007,DRAFT BEER,V003,P03,E116,1,14.0,12.6,1.4,MEMBER_10PCT
S00000080,2024-01-27 20:30:00,I009,COCKTAIL,V003,P03,E116,1,18.0,16.0,2.0,PROMO_2_OFF
S00000080,2024-01-27 20:30:00,I005,SODA,V003,P03,E116,1,6.0,6.0,0.0,
S00000080,2024-01-27 20:30:00,I012,ENERGY DRINK,V003,P03,E116,1,7.5,7.5,0.0,
S00000081,2024-01-04 21:21:00,I011,NACHOS,V003,P46,E076,1,10.0,10.0,0.0,
S00000081,2024-01-04 21:21:00,I004,POPCORN,V003,P46,E076,1,7.0,7.0,0.0,
S00000081,2024-01-04 21:21:00,I004,POPCORN,V003,P46,E076,1,7.0,7.0,0.0,
S00000082,2024-01-23 22:20:00,I008,CANNED BEER,V002,P17,E065,1,12.0,12.0,0.0,
S00000082,2024-01-23 22:20:00,I003,FRIES,V002,P17,E065,1,6.0,6.0,0.0,
S00000082,2024-01-23 22:20:00,I012,ENERGY DRINK,V002,P17,E065,2,15.0,15.0,0.0,
S00000082,2024-01-23 22:20:00,I002,CHEESEBURGER,V002,P17,E065,1,12.5,12.5,0.0,
S00000083,2024-01-09 23:07:00,I007,DRAFT BEER,V010,P48,E299,2,28.0,28.0,0.0,
S00000083,2024-01-09 23:07:00,I011,NACHOS,V010,P48,E299,1,10.0,10.0,0.0,
S00000084,2024-02-01 20:14:00,I004,POPCORN,V020,P21,E385,1,7.0,7.0,0.0,
S00000084,2024-02-01 20:14:00,I009,COCKTAIL,V020,P21,E385,1,18.0,18.0,0.0,
S00000084,2024-02-01 20:14:00,I008,CANNED BEER,V020,P21,E385,1,12.0,12.0,0.0,
S00000085,2024-02-06 19:25:00,I009,COCKTAIL,V020,P46,E127,1,18.0,18.0,0.0,
S00000085,2024-02-06 19:25:00,I007,DRAFT BEER,V020,P46,E127,1,14.0,14.0,0.0,
S00000085,2024-02-06 19:25:00,I007,DRAFT BEER,V020,P46,E127,1,14.0,14.0,0.0,
S00000085,2024-02-06 19:25:00,I007,DRAFT BEER,V020,P46,E127,1,14.0,14.0,0.0,
S00000086,2024-02-03 20:13:00,I010,CHICKEN TENDERS,V011,P11,E117,2,27.0,27.0,0.0,
S00000086,2024-02-03 20:13:00,I001,HOT DOG,V011,P11,E117,1,8.5,8.5,0.0,
S00000086,2024-02-03 20:13:00,I004,POPCORN,V011,P11,E117,1,7.0,6.3,0.7,MEMBER_10PCT
S00000086,2024-02-03 20:13:00,I008,CANNED BEER,V011,P11,E117,1,12.0,12.0,0.0,
S00000087,2024-01-18 18:39:00,I009,COCKTAIL,V010,P22,E352,1,18.0,9.0,9.0,BOGO_50
S00000087,2024-01-18 18:39:00,I002,CHEESEBURGER,V010,P22,E352,1,12.5,12.5,0.0,
S00000087,2024-01-18 18:39:00,I010,CHICKEN TENDERS,V010,P22,E352,2,27.0,27.0,0.0,
S00000087,2024-01-18 18:39:00,I008,CANNED BEER,V010,P22,E352,1,12.0,12.0,0.0,
S00000088,2024-02-01 18:27:00,I009,COCKTAIL,V010,P26,E319,1,18.0,16.0,2.0,PROMO_2_OFF
S00000088,2024-02-01 18:27:00,I009,COCKTAIL,V010,P26,E319,2,36.0,36.0,0.0,
S00000088,2024-02-01 18:27:00,I005,SODA,V010,P26,E319,1,6.0,6.0,0.0,
S00000089,2024-02-22 19:15:00,I008,CANNED BEER,V010,P03,E306,2,24.0,24.0,0.0,
S00000089,2024-02-22 19:15:00,I008,CANNED BEER,V010,P03,E306,1,12.0,10.0,2.0,PROMO_2_OFF
S00000090,2024-02-27 22:47:00,I010,CHICKEN TENDERS,V003,P41,E089,1,13.5,13.5,0.0,
S00000090,2024-02-27 22:47:00,I009,COCKTAIL,V003,P41,E089,1,18.0,18.0,0.0,
S00000090,2024-02-27 22:47:00,I002,CHEESEBURGER,V003,P41,E089,1,12.5,10.5,2.0,PROMO_2_OFF
S00000090,2024-02-27 22:47:00,I010,CHICKEN TENDERS,V003,P41,E089,1,13.5,13.5,0.0,
S00000091,2024-01-18 22:59:00,I009,COCKTAIL,V001,P42,E011,2,36.0,36.0,0.0,
S00000092,2024-02-17 19:44:00,I007,DRAFT BEER,V001,P41,E170,1,14.0,14.0,0.0,
S00000092,2024-02-17 19:44:00,I003,FRIES,V001,P41,E170,1,6.0,6.0,0.0,
S00000093,2024-02-06 18:51:00,I007,DRAFT BEER,V002,P19,E251,1,14.0,14.0,0.0,
S00000094,2024-01-30 19:01:00,I011,NACHOS,V001,P09,E018,1,10.0,10.0,0.0,
S00000094,2024-01-30 19:01:00,I009,COCKTAIL,V001,P09,E018,2,36.0,32.4,3.6,MEMBER_10PCT
S00000094,2024-01-30 19:01:00,I002,CHEESEBURGER,V001,P09,E018,2,25.0,25.0,0.0,
S00000094,2024-01-30 19:01:00,I012,ENERGY DRINK,V001,P09,E018,1,7.5,7.5,0.0,
S00000095,2024-02-10 22:41:00,I005,SODA,V011,P15,E003,1,6.0,6.0,0.0,
S00000095,2024-02-10 22:41:00,I008,CANNED BEER,V011,P15,E003,1,12.0,12.0,0.0,
S00000095,2024-02-10 22:41:00,I007,DRAFT BEER,V011,P15,E003,1,14.0,14.0,0.0,
S00000096,2024-02-03 20:03:00,I004,POPCORN,V011,P38,E140,1,7.0,7.0,0.0,
S00000096,2024-02-03 20:03:00,I011,NACHOS,V011,P38,E140,1,10.0,10.0,0.0,
S00000096,2024-02-03 20:03:00,I012,ENERGY DRINK,V011,P38,E140,1,7.5,7.5,0.0,
S00000097,2024-02-17 20:35:00,I008,CANNED BEER,V010,P45,E312,1,12.0,12.0,0.0,
S00000098,2024-02-24 23:03:00,I007,DRAFT BEER,V001,P47,E137,1,14.0,14.0,0.0,
S00000099,2024-02-29 18:09:00,I005,SODA,V001,P11,E166,1,6.0,6.0,0.0,
S00000100,2024-02-27 22:25:00,I001,HOT DOG,V002,P44,E138,1,8.5,8.5,0.0,
S00000100,2024-02-27 22:25:00,I004,POPCORN,V002,P44,E138,1,7.0,3.5,3.5,BOGO_50
